id,message_id,file_url,file_type,file_size_kb,uploaded_at
1,2536,https://cdn.example.md/uploads/msg_2536.mp3,audio/mpeg,4654,2026-08-23 18:00:00
2,2118,https://cdn.example.md/uploads/msg_2118.mp3,audio/mpeg,4184,2026-08-26 18:00:00
3,4102,https://cdn.example.md/uploads/msg_4102.mp3,audio/mpeg,1018,2026-08-24 09:00:00
4,767,https://cdn.example.md/uploads/msg_767.mp3,audio/mpeg,1365,2026-08-22 23:00:00
5,2604,https://cdn.example.md/uploads/msg_2604.mp3,audio/mpeg,4914,2026-09-01 00:00:00
6,505,https://cdn.example.md/uploads/msg_505.mp3,audio/mpeg,490,2026-08-18 09:00:00
7,1955,https://cdn.example.md/uploads/msg_1955.pdf,application/pdf,2337,2026-08-30 01:00:00
8,864,https://cdn.example.md/uploads/msg_864.mp3,audio/mpeg,1001,2026-08-20 01:00:00
9,808,https://cdn.example.md/uploads/msg_808.pdf,application/pdf,4882,2026-08-31 13:00:00
10,663,https://cdn.example.md/uploads/msg_663.jpg,image/jpeg,1037,2026-08-17 09:00:00
11,903,https://cdn.example.md/uploads/msg_903.pdf,application/pdf,2347,2026-08-24 19:00:00
12,2019,https://cdn.example.md/uploads/msg_2019.pdf,application/pdf,4286,2026-08-26 04:00:00
13,2454,https://cdn.example.md/uploads/msg_2454.jpg,image/jpeg,166,2026-08-16 23:00:00
14,3647,https://cdn.example.md/uploads/msg_3647.mp3,audio/mpeg,729,2026-08-29 07:00:00
15,3460,https://cdn.example.md/uploads/msg_3460.mp3,audio/mpeg,4537,2026-08-30 14:00:00
16,1525,https://cdn.example.md/uploads/msg_1525.mp3,audio/mpeg,4290,2026-08-11 01:00:00
17,3040,https://cdn.example.md/uploads/msg_3040.jpg,image/jpeg,746,2026-08-23 21:00:00
18,4426,https://cdn.example.md/uploads/msg_4426.jpg,image/jpeg,2484,2026-08-17 01:00:00
19,927,https://cdn.example.md/uploads/msg_927.mp3,audio/mpeg,1781,2026-08-30 06:00:00
20,4493,https://cdn.example.md/uploads/msg_4493.mp3,audio/mpeg,4676,2026-08-17 02:00:00
21,3400,https://cdn.example.md/uploads/msg_3400.pdf,application/pdf,1760,2026-08-15 21:00:00
22,1043,https://cdn.example.md/uploads/msg_1043.pdf,application/pdf,2263,2026-08-27 22:00:00
23,2169,https://cdn.example.md/uploads/msg_2169.jpg,image/jpeg,3620,2026-08-20 11:00:00
24,3739,https://cdn.example.md/uploads/msg_3739.mp3,audio/mpeg,2078,2026-08-12 05:00:00
25,4295,https://cdn.example.md/uploads/msg_4295.pdf,application/pdf,470,2026-08-22 09:00:00
26,1303,https://cdn.example.md/uploads/msg_1303.mp3,audio/mpeg,4735,2026-08-16 00:00:00
27,2142,https://cdn.example.md/uploads/msg_2142.mp3,audio/mpeg,1770,2026-08-27 21:00:00
28,2310,https://cdn.example.md/uploads/msg_2310.pdf,application/pdf,770,2026-08-27 20:00:00
29,2462,https://cdn.example.md/uploads/msg_2462.pdf,application/pdf,2421,2026-08-31 01:00:00
30,1784,https://cdn.example.md/uploads/msg_1784.pdf,application/pdf,2515,2026-08-29 23:00:00
31,3324,https://cdn.example.md/uploads/msg_3324.pdf,application/pdf,3047,2026-08-29 16:00:00
32,4159,https://cdn.example.md/uploads/msg_4159.jpg,image/jpeg,1192,2026-08-19 11:00:00
33,1031,https://cdn.example.md/uploads/msg_1031.mp3,audio/mpeg,633,2026-08-14 10:00:00
34,4090,https://cdn.example.md/uploads/msg_4090.pdf,application/pdf,4295,2026-08-29 01:00:00
35,1549,https://cdn.example.md/uploads/msg_1549.jpg,image/jpeg,918,2026-08-11 21:00:00
36,2177,https://cdn.example.md/uploads/msg_2177.jpg,image/jpeg,115,2026-08-24 17:00:00
37,2643,https://cdn.example.md/uploads/msg_2643.jpg,image/jpeg,3216,2026-08-27 13:00:00
38,2528,https://cdn.example.md/uploads/msg_2528.pdf,application/pdf,4184,2026-08-14 23:00:00
39,602,https://cdn.example.md/uploads/msg_602.jpg,image/jpeg,2182,2026-08-17 15:00:00
40,856,https://cdn.example.md/uploads/msg_856.mp3,audio/mpeg,1386,2026-08-12 09:00:00
41,3801,https://cdn.example.md/uploads/msg_3801.jpg,image/jpeg,1961,2026-08-23 22:00:00
42,1109,https://cdn.example.md/uploads/msg_1109.jpg,image/jpeg,2639,2026-08-20 17:00:00
43,4187,https://cdn.example.md/uploads/msg_4187.pdf,application/pdf,2182,2026-08-21 17:00:00
44,238,https://cdn.example.md/uploads/msg_238.mp3,audio/mpeg,3923,2026-08-12 22:00:00
45,234,https://cdn.example.md/uploads/msg_234.mp3,audio/mpeg,1103,2026-08-17 01:00:00
46,172,https://cdn.example.md/uploads/msg_172.mp3,audio/mpeg,1534,2026-08-18 14:00:00
47,3518,https://cdn.example.md/uploads/msg_3518.jpg,image/jpeg,3870,2026-08-28 02:00:00
48,2474,https://cdn.example.md/uploads/msg_2474.pdf,application/pdf,1991,2026-08-23 10:00:00
49,3721,https://cdn.example.md/uploads/msg_3721.pdf,application/pdf,4764,2026-08-15 11:00:00
50,146,https://cdn.example.md/uploads/msg_146.pdf,application/pdf,2488,2026-08-17 10:00:00
51,3776,https://cdn.example.md/uploads/msg_3776.mp3,audio/mpeg,2238,2026-08-14 13:00:00
52,2050,https://cdn.example.md/uploads/msg_2050.pdf,application/pdf,3138,2026-08-28 12:00:00
53,1640,https://cdn.example.md/uploads/msg_1640.jpg,image/jpeg,4907,2026-08-14 22:00:00
54,369,https://cdn.example.md/uploads/msg_369.mp3,audio/mpeg,1801,2026-08-27 21:00:00
55,3794,https://cdn.example.md/uploads/msg_3794.pdf,application/pdf,902,2026-08-26 09:00:00
56,3858,https://cdn.example.md/uploads/msg_3858.pdf,application/pdf,3596,2026-08-21 19:00:00
57,2143,https://cdn.example.md/uploads/msg_2143.mp3,audio/mpeg,50,2026-08-23 04:00:00
58,491,https://cdn.example.md/uploads/msg_491.mp3,audio/mpeg,616,2026-08-20 14:00:00
59,1046,https://cdn.example.md/uploads/msg_1046.jpg,image/jpeg,2937,2026-08-19 14:00:00
60,2799,https://cdn.example.md/uploads/msg_2799.pdf,application/pdf,1666,2026-08-31 14:00:00
61,3681,https://cdn.example.md/uploads/msg_3681.pdf,application/pdf,4450,2026-08-27 07:00:00
62,1533,https://cdn.example.md/uploads/msg_1533.mp3,audio/mpeg,1791,2026-08-26 15:00:00
63,2531,https://cdn.example.md/uploads/msg_2531.mp3,audio/mpeg,1408,2026-08-20 18:00:00
64,3158,https://cdn.example.md/uploads/msg_3158.mp3,audio/mpeg,4643,2026-08-12 13:00:00
65,2520,https://cdn.example.md/uploads/msg_2520.pdf,application/pdf,805,2026-08-18 03:00:00
66,4165,https://cdn.example.md/uploads/msg_4165.mp3,audio/mpeg,267,2026-08-23 11:00:00
67,3177,https://cdn.example.md/uploads/msg_3177.mp3,audio/mpeg,2425,2026-08-20 08:00:00
68,2039,https://cdn.example.md/uploads/msg_2039.jpg,image/jpeg,469,2026-08-19 13:00:00
69,267,https://cdn.example.md/uploads/msg_267.jpg,image/jpeg,849,2026-08-13 21:00:00
70,2102,https://cdn.example.md/uploads/msg_2102.mp3,audio/mpeg,1398,2026-08-19 05:00:00
