id,user_id,type,title,body,is_read,created_at
1,2045,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,1,2026-07-20 22:00:00
2,2239,system,System notification,There has been an update to your account or app settings.,1,2026-08-03 12:00:00
3,2264,doctor_reply,Doctor replied,Your doctor has replied to your message.,0,2026-08-17 12:00:00
4,2357,system,System notification,There has been an update to your account or app settings.,1,2026-08-17 01:00:00
5,2044,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-08-31 06:00:00
6,2151,new_message,New message received,You have a new message in your consultation chat.,1,2026-08-10 21:00:00
7,2248,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-08-19 10:00:00
8,2400,payment_received,Payment received,We have received your payment. Thank you.,1,2026-07-03 14:00:00
9,2280,system,System notification,There has been an update to your account or app settings.,1,2026-07-08 15:00:00
10,2214,payment_received,Payment received,We have received your payment. Thank you.,1,2026-08-20 20:00:00
11,2036,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,0,2026-07-30 17:00:00
12,2183,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,0,2026-07-16 06:00:00
13,2038,payment_received,Payment received,We have received your payment. Thank you.,1,2026-08-17 23:00:00
14,2400,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-07-14 19:00:00
15,2062,payment_received,Payment received,We have received your payment. Thank you.,0,2026-08-13 06:00:00
16,1001,doctor_reply,Doctor replied,Your doctor has replied to your message.,0,2026-08-31 02:00:00
17,1022,new_message,New message received,You have a new message in your consultation chat.,1,2026-07-08 17:00:00
18,2380,payment_received,Payment received,We have received your payment. Thank you.,1,2026-08-16 09:00:00
19,2348,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-07-19 05:00:00
20,2033,payment_received,Payment received,We have received your payment. Thank you.,0,2026-08-27 21:00:00
21,2010,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-07-08 14:00:00
22,2378,payment_received,Payment received,We have received your payment. Thank you.,1,2026-08-04 09:00:00
23,2230,system,System notification,There has been an update to your account or app settings.,0,2026-08-02 15:00:00
24,2324,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,0,2026-07-25 22:00:00
25,1007,system,System notification,There has been an update to your account or app settings.,1,2026-07-14 22:00:00
26,2252,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,0,2026-08-24 00:00:00
27,2044,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,0,2026-08-15 01:00:00
28,2247,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,0,2026-08-20 16:00:00
29,2015,system,System notification,There has been an update to your account or app settings.,1,2026-08-20 14:00:00
30,2324,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-08-07 05:00:00
31,1009,review_request,Share your feedback,Please leave a review about your recent consultation.,0,2026-08-05 16:00:00
32,2024,new_message,New message received,You have a new message in your consultation chat.,1,2026-08-07 05:00:00
33,2035,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-07-03 02:00:00
34,2284,new_message,New message received,You have a new message in your consultation chat.,0,2026-07-21 08:00:00
35,2116,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-08-29 10:00:00
36,2021,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,0,2026-07-16 17:00:00
37,2121,payment_received,Payment received,We have received your payment. Thank you.,1,2026-08-16 14:00:00
38,2184,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,0,2026-07-11 08:00:00
39,2008,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-08-22 00:00:00
40,2294,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-07-07 20:00:00
41,1026,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,0,2026-07-07 02:00:00
42,2145,new_message,New message received,You have a new message in your consultation chat.,0,2026-08-14 18:00:00
43,2017,new_message,New message received,You have a new message in your consultation chat.,1,2026-08-09 03:00:00
44,2050,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,1,2026-08-11 09:00:00
45,2331,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-08-26 16:00:00
46,2026,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,1,2026-08-27 00:00:00
47,2064,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,0,2026-08-18 16:00:00
48,2136,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-08-23 16:00:00
49,2235,system,System notification,There has been an update to your account or app settings.,1,2026-07-24 00:00:00
50,1029,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-08-18 23:00:00
51,2291,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-08-10 21:00:00
52,2086,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,0,2026-08-31 06:00:00
53,2379,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,0,2026-07-20 07:00:00
54,2138,new_message,New message received,You have a new message in your consultation chat.,1,2026-07-12 03:00:00
55,1039,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-07-27 20:00:00
56,2147,doctor_reply,Doctor replied,Your doctor has replied to your message.,0,2026-08-13 18:00:00
57,2381,system,System notification,There has been an update to your account or app settings.,0,2026-07-23 06:00:00
58,2277,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-08-22 04:00:00
59,2260,new_message,New message received,You have a new message in your consultation chat.,1,2026-07-03 08:00:00
60,2031,doctor_reply,Doctor replied,Your doctor has replied to your message.,0,2026-07-28 01:00:00
61,1026,system,System notification,There has been an update to your account or app settings.,0,2026-08-21 15:00:00
62,2294,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-07-27 02:00:00
63,2155,payment_received,Payment received,We have received your payment. Thank you.,0,2026-08-07 02:00:00
64,2063,doctor_reply,Doctor replied,Your doctor has replied to your message.,0,2026-08-04 17:00:00
65,2376,new_message,New message received,You have a new message in your consultation chat.,0,2026-08-08 21:00:00
66,2137,review_request,Share your feedback,Please leave a review about your recent consultation.,1,2026-07-08 23:00:00
67,1015,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-08-11 00:00:00
68,2002,appointment_cancelled,Appointment cancelled,Your appointment has been cancelled. Please reschedule if needed.,1,2026-07-04 10:00:00
69,2167,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-08-06 23:00:00
70,2089,new_message,New message received,You have a new message in your consultation chat.,0,2026-07-26 19:00:00
71,1025,appointment_reminder,Upcoming appointment reminder,Your appointment is scheduled soon. Please don't forget to attend.,1,2026-08-08 14:00:00
72,2002,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-08-15 18:00:00
73,2276,appointment_confirmed,Appointment confirmed,Your appointment has been confirmed by the clinic.,1,2026-08-14 06:00:00
74,2139,system,System notification,There has been an update to your account or app settings.,0,2026-08-19 09:00:00
75,2236,doctor_reply,Doctor replied,Your doctor has replied to your message.,1,2026-07-19 20:00:00
