id,appointment_id,amount,currency,status,payment_method,transaction_id,paid_at
1,490,500,MDL,paid,Bank Transfer,TXN-8071612530,2026-08-17 19:01:00
2,101,800,MDL,failed,Cash,TXN-2481617162,
3,170,300,MDL,paid,Cash,TXN-8180406371,2026-09-04 13:59:00
4,772,300,MDL,paid,MIA (Mobile Payment),TXN-8222552741,2026-08-18 11:24:00
5,70,500,MDL,paid,Card,TXN-3321379350,2026-08-11 09:48:00
6,366,700,MDL,paid,Bank Transfer,TXN-9819334847,2026-09-09 15:38:00
7,562,1200,MDL,paid,Card,TXN-8525628666,2026-08-29 11:17:00
8,637,900,MDL,paid,Cash,TXN-5267071223,2026-09-17 15:17:00
9,699,350,MDL,paid,Card,TXN-5823516895,2026-09-12 11:53:00
10,761,1000,MDL,paid,MIA (Mobile Payment),TXN-5947320887,2026-09-09 15:50:00
11,402,1000,MDL,paid,Cash,TXN-4080381159,2026-09-08 16:34:00
12,894,300,MDL,failed,Cash,TXN-8077998869,
13,379,350,MDL,paid,Bank Transfer,TXN-7736571473,2026-09-14 19:42:00
14,484,300,MDL,paid,MIA (Mobile Payment),TXN-8275008404,2026-08-21 11:08:00
15,349,400,MDL,paid,MIA (Mobile Payment),TXN-6514997738,2026-08-31 13:45:00
16,493,400,MDL,paid,Bank Transfer,TXN-8437454532,2026-08-09 17:54:00
17,998,800,MDL,paid,Cash,TXN-4846012752,2026-09-04 11:50:00
18,454,1000,MDL,paid,Bank Transfer,TXN-2325657288,2026-09-08 13:25:00
19,628,400,MDL,paid,Bank Transfer,TXN-5211912455,2026-08-27 15:00:00
20,522,500,MDL,refunded,Cash,TXN-6015514845,
21,521,600,MDL,paid,MIA (Mobile Payment),TXN-2992825980,2026-08-18 08:12:00
22,871,350,MDL,pending,Bank Transfer,TXN-2637896619,
23,969,900,MDL,refunded,Card,TXN-3173362505,
24,294,600,MDL,paid,Bank Transfer,TXN-6803031369,2026-08-31 10:44:00
25,662,450,MDL,refunded,Cash,TXN-5295488859,
26,807,500,MDL,refunded,MIA (Mobile Payment),TXN-5885761599,
27,641,400,MDL,paid,Cash,TXN-8825196918,2026-08-15 11:39:00
28,605,700,MDL,paid,Bank Transfer,TXN-7828304518,2026-09-10 17:54:00
29,204,900,MDL,paid,Bank Transfer,TXN-7171753884,2026-08-11 10:25:00
30,286,1000,MDL,paid,Cash,TXN-8646942919,2026-09-04 10:48:00
31,155,500,MDL,paid,MIA (Mobile Payment),TXN-3772116444,2026-08-26 17:51:00
32,580,1000,MDL,refunded,Bank Transfer,TXN-2496606489,
33,482,500,MDL,paid,Card,TXN-1788317058,2026-08-07 13:30:00
34,31,400,MDL,paid,MIA (Mobile Payment),TXN-5670714866,2026-09-03 18:37:00
35,113,400,MDL,paid,Card,TXN-6021049966,2026-08-28 17:49:00
36,418,700,MDL,refunded,Cash,TXN-5634031617,
37,14,600,MDL,failed,Cash,TXN-5368269605,
38,847,700,MDL,paid,Bank Transfer,TXN-5974256634,2026-08-19 13:31:00
39,420,1200,MDL,paid,Bank Transfer,TXN-7871050358,2026-08-17 09:08:00
40,996,450,MDL,paid,MIA (Mobile Payment),TXN-9559066413,2026-09-01 09:56:00
41,25,900,MDL,paid,Cash,TXN-7572199506,2026-09-15 15:47:00
42,134,600,MDL,paid,Cash,TXN-3142424228,2026-08-22 14:09:00
43,812,450,MDL,paid,MIA (Mobile Payment),TXN-3913845712,2026-09-08 16:04:00
44,538,700,MDL,paid,Bank Transfer,TXN-2623231890,2026-09-20 15:00:00
