id,name,description
1,Cardiology,Cardiology consultations and treatment
2,Dermatology,Dermatology consultations and treatment
3,Endocrinology,Endocrinology consultations and treatment
4,Gastroenterology,Gastroenterology consultations and treatment
5,General Practice,General Practice consultations and treatment
6,Neurology,Neurology consultations and treatment
7,Obstetrics & Gynecology,Obstetrics & Gynecology consultations and treatment
8,Oncology,Oncology consultations and treatment
9,Ophthalmology,Ophthalmology consultations and treatment
10,Orthopedics,Orthopedics consultations and treatment
11,Pediatrics,Pediatrics consultations and treatment
12,Psychiatry,Psychiatry consultations and treatment
13,Pulmonology,Pulmonology consultations and treatment
14,Radiology,Radiology consultations and treatment
15,Rheumatology,Rheumatology consultations and treatment
16,Urology,Urology consultations and treatment
17,ENT (Otolaryngology),ENT (Otolaryngology) consultations and treatment
18,Dentistry,Dentistry consultations and treatment
